Age (years),Gender,Energy (MJ/day),Energy (kcal/day),Protein (g/day),Fat (g/day),Saturated fat (g/day),Polyunsaturated fat (g/day),Monounsaturated fat (g/day),Carbohydrate (g/day),Free sugars (g/day),Salt (g/day),Fibre (g/day)
1,Males,3.2,765,14.5,-,-,-,-,-,-,2,0
1,Females,3,717,14.5,-,-,-,-,-,-,2,0
2-3,Males,4.55,1088,14.5,-,-,-,-,145,15,2,15
2-3,Females,4.2,1004,14.5,-,-,-,-,134,13,2,15
4-6,Males,6.2,1482,19.7,58,18,11,21,198,20,3,20
4-6,Females,5.8,1378,19.7,54,17,10,20,184,18,3,20
7-10,Males,7.6,1817,28.3,71,22,13,26,242,24,5,25
7-10,Females,7.1,1703,28.3,66,21,12,25,227,23,5,25
11-14,Males,10.5,2500,42.1,97,31,18,36,333,33,6,30
11-14,Females,8.4,2000,41.2,78,24,14,29,267,27,6,30
15-18,Males,10.5,2500,55.2,97,31,18,36,333,33,6,30
15-18,Females,8.4,2000,45,78,24,14,29,267,27,6,30
19 - 64,Males,10.5,2500,55.5,97,31,18,36,333,33,6,30
19 - 64,Females,8.4,2000,45,78,24,14,29,267,27,6,30
65 - 74,Males,9.8,2342,53.3,91,29,17,34,312,31,6,30
65 - 74,Females,8,1912,46.5,74,23,14,28,255,26,6,30
75+,Males,9.6,2294,53.3,89,28,17,33,306,31,6,30
75+,Females,7.7,1840,46.5,72,23,13,27,245,25,6,30